id,postcode,latitude,longitude
724957,NE9 6XA,54.92598883,-1.599223138
724958,NE9 6XB,54.92528065,-1.597030098
724959,NE9 6XD,54.92571286,-1.597291041
724960,NE9 6XE,54.926281,-1.597644
724961,NE9 6XF,54.92430407,-1.600644142
724962,NE9 6XG,54.92062735,-1.59481434
724963,NE9 6XH,54.92788108,-1.598471
724964,NE9 6XJ,54.92761464,-1.599004131
724965,NE9 6XL,54.92749473,-1.600799809
724966,NE9 6XN,54.92705268,-1.600273645
724967,NE9 6XP,54.92678437,-1.597935711
724968,NE9 6XR,54.93584563,-1.585453054
724969,NE9 6XS,54.93354344,-1.587599211
724970,NE9 6XT,54.93591959,-1.586060986
724971,NE9 6XU,54.93272111,-1.588902939
724972,NE9 6XW,54.92314349,-1.602980408
724973,NE9 6XX,54.9364529,-1.584338665
724974,NE9 6XY,54.9354663,-1.58489509
724975,NE9 6XZ,54.92262047,-1.60242387
724976,NE9 6YA,54.93509596,-1.584337043
724977,NE9 6YB,54.93458269,-1.584030194
724978,NE9 6YD,54.93362916,-1.586381019
724979,NE9 6YE,54.9323398,-1.585114541
724980,NE9 6YF,54.93262186,-1.583504198
724981,NE9 6YG,54.91993131,-1.596287851
724982,NE9 6YH,54.93010663,-1.583779853
724983,NE9 6YJ,54.93111248,-1.583597812
724984,NE9 6YL,54.93137339,-1.583688753
724985,NE9 6YN,54.93270841,-1.582535717
724986,NE9 6YP,54.93155087,-1.583031477
724987,NE9 6YQ,54.9321671,-1.581917078
724988,NE9 6YR,54.93236388,-1.581213
724989,NE9 6YS,54.933065,-1.584202
724990,NE9 6YT,54.933205,-1.582889
724991,NE9 6YU,54.934097,-1.583645
724992,NE9 6YW,54.93299545,-1.587651634
724993,NE9 6YX,54.93258136,-1.584799932
724994,NE9 6YY,54.933689,-1.585163
724995,NE9 6YZ,54.92509383,-1.594894312
724996,NE9 7AA,54.92735283,-1.567189807
724997,NE9 7AB,54.92796423,-1.564764561
724998,NE9 7AD,54.92555241,-1.571375256
724999,NE9 7AE,54.92295211,-1.573009936
